9 0.504069:(1) 0.661693:(1) 0.658563:(1) 0.404132:(1) 0.785247:(1) 0.490298:(1) 0.713103:(1) 0.798337:(1) 0.282387:(0) 
9 0.851644:(1) 0.507754:(1) 0.802298:(1) 0.327058:(0) 0.433800:(1) 0.433512:(1) 0.290448:(0) 0.205778:(0) 0.454672:(1) 
9 0.326906:(0) 0.673094:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.673094:(0) 0.326906:(0) 0.000000:(0) 
9 0.319700:(0) 0.319700:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.319700:(0) 1.000000:(1) 
9 0.643051:(0) 0.356949:(0) 1.000000:(1) 0.000000:(0) 0.356949:(0) 0.000000:(0) 0.643051:(0) 0.356949:(0) 0.356949:(0) 
9 0.000000:(0) 1.000000:(1) 0.281465:(0) 0.281465:(0) 0.281465:(0) 0.718535:(0) 1.000000:(1) 0.718535:(0) 0.000000:(0) 
9 0.333277:(0) 1.000000:(1) 0.000000:(0) 0.666723:(0) 0.666723:(0) 0.000000:(0) 0.666723:(0) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 0.000000:(0) 0.207921:(0) 0.792079:(0) 0.792079:(0) 0.000000:(0) 0.207921:(0) 0.000000:(0) 0.792079:(0) 
9 1.000000:(1) 0.000000:(0) 0.374476:(0) 1.000000:(1) 0.625524:(0) 0.000000:(0) 0.374476:(0) 0.374476:(0) 0.374476:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.559928:(1) 0.304097:(0) 0.262551:(0) 0.835966:(1) 0.684704:(1) 0.387583:(1) 0.412055:(1) 0.774218:(1) 0.709706:(1) 
9 0.312408:(1) 0.278034:(1) 0.633646:(1) 0.162379:(0) 0.259028:(0) 0.383489:(1) 0.729333:(1) 0.932497:(1) 0.648265:(1) 
9 0.430590:(1) 0.316774:(0) 0.536946:(1) 0.527046:(1) 0.323989:(0) 0.487628:(1) 0.459902:(1) 0.704413:(1) 0.624998:(1) 
9 0.516801:(1) 0.841828:(1) 0.465364:(1) 0.047284:(0) 0.623812:(1) 0.333485:(1) 0.472481:(1) 0.674685:(1) 0.242358:(1) 
9 0.364447:(1) 0.510170:(1) 0.621095:(1) 0.092447:(0) 0.068136:(0) 0.634789:(1) 0.930283:(1) 0.598160:(1) 0.424530:(1) 
9 0.085283:(0) 0.874874:(1) 0.844757:(1) 0.462546:(1) 0.954050:(1) 0.028994:(0) 0.392072:(1) 0.613103:(1) 0.578339:(1) 
9 0.311720:(1) 0.462228:(1) 0.414088:(1) 0.476849:(1) 0.405271:(1) 0.658686:(1) 0.308133:(1) 0.145936:(0) 0.682928:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
